City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Soyo,AO,2021-08-04 03:05:49,-6.1349,12.3689,71.35,94,29,7.76
279,Artyom,AZ,2021-08-04 03:05:49,40.4723,50.333,75.34,65,78,6.33
280,Verkh-Usugli,RU,2021-08-04 03:05:49,52.7,115.1667,62.28,89,97,2.55
281,Lolodorf,CM,2021-08-04 03:05:50,3.2333,10.7333,68.63,100,100,0.94
282,Whitehorse,CA,2021-08-04 03:05:50,60.7161,-135.0538,69.31,40,72,8.99
283,Acapulco,MX,2021-08-04 03:05:50,16.8634,-99.8901,82.13,82,88,6.87
284,Wellington,NZ,2021-08-04 03:02:01,-41.2866,174.7756,54.82,66,5,1.01
285,Naze,JP,2021-08-04 03:05:51,28.3667,129.4833,80.11,81,86,15.7
286,Buraydah,SA,2021-08-04 03:05:51,26.326,43.975,84.42,14,6,7.05
287,Pingzhuang,CN,2021-08-04 03:05:18,42.0372,119.2889,78.58,68,37,13.22
288,Palanga,LT,2021-08-04 03:05:52,55.9175,21.0686,51.75,93,0,3.44
289,Waingapu,ID,2021-08-04 03:05:52,-9.6567,120.2641,85.39,59,58,12.84
290,Port Lincoln,AU,2021-08-04 03:05:52,-34.7333,135.8667,58.89,64,16,16.08
